11.84; 13.38; 12.03; 13.87; 41.52; 36.55; 18.99; 12.4; 12.18; 12.21; 13.56; 13.47;
13.34; 15.94; 23.78; 34.21; 65.62; 44.32; 16.07; 13.63; 12.16; 12.43; 12.34; 11.81;
12.96; 13.6; 15.7; 15.73; 39.37; 13.66; 11.46; 12.43; 11.48; 11.89; 10.73; 11.25;
10.79; 10.55; 13.98; 17.65; 50.89; 28.25; 12.96; 12.59; 12.6; 13.18; 12.36; 13.95;
14.57; 13.43; 13.31; 13.58; 44.19; 25.25; 18.03; 16.04; 14.05; 14.41; 11.9; 13.9;
13.85; 13.6; 22.15; 27.99; 59.19; 37.58; 17.73; 15.72; 12.55; 12.48; 12.6; 13.39;
12.8; 12.75; 17.78; 15.22; 45.26; 31.88; 14.2; 15.05; 13.4; 13.47; 13.14; 17.14;
13.87; 12.9; 15.24; 17.55; 45.26; 26.44; 15.13; 13.5; 11.04; 10.45; 9.75; 10.66;
8.57; 10.33; 14.33; 14.2; 42.59; 12.57; 9.83; 9.45; 9.15; 9.7; -0.0; -0.0;
13.37; 14.08; 15.4; 16.46; 42.85; 49.77; 23.41; 14.76; 11.87; 12.0; 11.66; 12.83;
13.26; 14.68; 16.15; 12.49; 29.73; 12.39; 11.52; 10.85; 10.06; 10.2; 12.18; 12.53;
14.14; 12.85; 11.3; 11.56; 22.77; 28.25; 13.82; 13.37; 12.7; 14.49; 14.39; 17.46;
17.46; 13.72; 13.02; 12.31; 40.71; 16.69; 12.67; 12.53; 12.44; 13.45; 11.92; 18.86;
20.52; 16.91; 18.8; 15.09; 45.8; 25.89; 21.91; 20.95; 17.26; 20.97; 24.26; 25.85;
20.06; 17.59; 26.49; 21.44; 51.43; 59.36; 20.11; 18.59; 19.13; 16.2; 15.86; 17.33;
20.62; 18.54; 21.72; 15.86; 36.69; 31.1; 15.45; 17.22; 17.76; 17.3; 19.7; 20.7;
18.43; 19.21; 23.06; 20.55; 56.78; 47.95; 19.58; 17.49; 15.14; 14.89; 17.29; 17.86;
16.85; 14.08; 16.93; 15.76; 40.18; 22.65; 15.56; 14.65; 13.56; 16.26; 15.42; 17.36;
13.77; 12.05; 16.2; 22.6; 43.39; 18.56; 18.35; 16.23; 15.22; 16.74; 15.42; 17.76;
19.28; 19.02; 24.43; 14.28; 35.09; 19.96; 13.71; 14.62; 13.79; 14.6; 15.42; 20.44;
21.56; 17.32; 22.04; 17.96; 47.14; 45.88; 26.03; 18.59; 15.68; 16.69; 16.36; 17.65;
17.57; 18.0; 21.48; 25.53; 61.34; 33.44; 19.23; 19.42; 17.37; 20.41; 16.93; 18.53;
17.44; 15.17; 19.95; 18.87; 43.39; 49.51; 20.06; 16.5; 16.12; 18.08; 18.38; 19.98;
13.18; 14.83; 13.79; 16.77; 49.55; 26.18; 17.2; 15.19; 13.22; 13.98; 15.81; 16.02;
13.42; 11.13; 13.26; 17.7; 46.34; 26.96; 16.26; 15.86; 14.05; 13.77; 14.39; 19.07;
12.8; 11.08; 14.62; 36.03; 53.3; 44.84; 26.17; 16.1; 15.84; 24.0; 29.03; 25.02;
18.11; 16.16; 21.67; 38.1; 69.1; 40.44; 19.85; 16.2; 14.41; 14.57; 16.61; 17.76;
14.73; 13.83; 19.93; 24.44; 49.55; 31.36; 16.2; 14.87; 14.05; 13.63; 12.96; 14.14;
14.36; 14.9; 19.36; 21.15; 51.96; 31.88; 22.02; 20.76; 18.48; 23.3; 22.71; 15.27;
16.02; 16.55; 18.83; 29.55; 61.87; 45.36; 35.89; 30.27; 22.65; 19.12; 18.58; 19.23;
17.84; 16.4; 20.44; 32.92; 68.03; 33.44; 17.84; 16.77; 15.6; 12.91; 10.24; 11.65;
12.72; 13.53; 11.2; 13.19; 31.34; 16.59; 12.86; 13.74; 13.32; 13.58; 12.03; 12.11;
12.45; 11.68; 12.53; 13.19; 48.48; 43.03; 20.14; 17.36; 14.31; 13.34; 15.63; 14.52;
14.22; 14.37; 17.86; 19.65; 46.07; 51.58; 20.44; 18.27; 19.47; 17.76; 18.14; 19.28;
18.24; 19.01; 25.34; 30.59; 57.32; 36.55; 18.03; 18.37; 16.46; 14.54; 12.67; 16.39;
11.89; 11.43; 13.39; 18.61; 55.44; 33.18; 20.68; 16.5; 16.15; 15.94; 14.39; 14.44;
14.54; 15.56; 21.16; 22.14; 57.59; 44.32; 19.9; 15.91; 15.81; 14.52; 14.2; 17.03;
15.78; 15.82; 16.45; 22.78; 52.76; 39.66; 20.11; 15.45; 14.07; 13.39; 12.93; 15.19;
17.46; 15.56; 16.79; 20.61; 46.34; 31.1; 18.32; 16.66; 14.98; 15.48; 14.96; 16.12;
16.98; 17.19; 16.47; 23.35; 47.68; 27.22; 22.42; 19.66; 15.84; 15.8; 15.42; 17.57;
18.88; 17.01; 22.18; 26.18; 61.87; 43.29; 19.15; 17.25; 15.37; 14.14; 12.03; 12.88;
12.83; 12.89; 13.5; 11.92; 37.23; 26.44; 15.51; 14.14; 13.06; 13.26; 13.22; 18.19;
18.99; 19.69; 28.12; 33.44; 45.26; 36.29; 19.5; 17.46; 15.91; 14.89; 13.09; 13.02;
12.75; 12.58; 15.7; 24.6; 49.28; 22.27; 15.62; 15.27; 14.26; 13.93; 13.69; 20.03;
19.53; 17.32; 18.0; 16.51; 45.8; 24.0; 15.24; 15.27; 14.39; 13.82; 13.32; 15.72;
12.21; 12.39; 14.87; 14.05; 45.0; 26.44; 13.07; 12.96; 11.74; 11.57; 10.83; 11.84;
12.03; 11.3; 13.37; 13.19; 43.12; 16.54; 13.58; 13.15; 12.6; 13.28; 12.18; 15.27;
13.58; 12.9; 14.54; 13.58; 49.55; 31.1; 16.2; 13.58; 12.57; 12.83; 14.72; 25.02;
18.91; 16.33; 18.53; 27.99; 52.76; 36.03; 16.15; 13.34; 12.62; 13.18; 14.41; 17.2;
16.45; 15.92; 21.48; 18.69; 42.85; 18.04; 13.74; 12.72; 14.02; 13.28; 12.03; 13.31;
12.56; 10.93; 13.1; 11.9; 29.73; 18.87; 13.9; 14.17; 14.83; 13.79; 13.09; 15.21;
16.07; 16.36; 16.5; 26.44; 64.28; 34.73; 16.34; 13.95; 12.78; 13.26; 14.23; 16.47;
